
   Bytes sent (11545769)   |   Avg RTT (ms)   |   Estimated RTT (ms)   |   Avg Bandwidth (KB/s)   |   Estimated Bandwidth (KB/s)   

---------------------------------------------------------------------------------------------------------------------------------------

           1024         |       0.00       |              0.00        |            Infinity        |               Infinity   
           1024         |       0.00       |              0.00        |            Infinity        |               Infinity   
           1024         |       0.00       |              0.00        |            Infinity        |               Infinity   
           1024         |       0.20       |              0.13        |             4096.00        |                8192.00   
           1024         |       0.17       |              0.11        |             5120.00        |                9362.29   
           1024         |       0.14       |              0.10        |             6144.00        |               10699.76   
           1024         |       0.13       |              0.08        |             7168.00        |               12228.29   
           1024         |       0.11       |              0.07        |             8192.00        |               13975.19   
           1024         |       0.10       |              0.06        |             9216.00        |               15971.65   
           1024         |       0.09       |              0.06        |            10240.00        |               18253.31   
           1024         |       0.08       |              0.05        |            11264.00        |               20860.93   
           1024         |       0.08       |              0.04        |            12288.00        |               23841.06   
           1024         |       0.07       |              0.04        |            13312.00        |               27246.92   
           1024         |       0.07       |              0.03        |            14336.00        |               31139.34   
           1024         |       0.06       |              0.03        |            15360.00        |               35587.82   
           1024         |       0.06       |              0.03        |            16384.00        |               40671.79   
           1024         |       0.06       |              0.02        |            17408.00        |               46482.05   
           1024         |       0.05       |              0.02        |            18432.00        |               53122.34   
           1024         |       0.05       |              0.02        |            19456.00        |               60711.25   
           1024         |       0.05       |              0.01        |            20480.00        |               69384.28   
           1024         |       0.09       |              0.14        |            10752.00        |                7424.94   
           1024         |       0.09       |              0.12        |            11264.00        |                8485.64   
           1024         |       0.08       |              0.11        |            11776.00        |                9697.88   
           1024         |       0.08       |              0.09        |            12288.00        |               11083.29   
           1024         |       0.08       |              0.08        |            12800.00        |               12666.62   
           1024         |       0.07       |              0.07        |            13312.00        |               14476.14   
           1024         |       0.07       |              0.06        |            13824.00        |               16544.15   
           1024         |       0.07       |              0.05        |            14336.00        |               18907.61   
           1024         |       0.07       |              0.05        |            14848.00        |               21608.69   
           1024         |       0.06       |              0.04        |            15360.00        |               24695.65   
           1024         |       0.06       |              0.04        |            15872.00        |               28223.60   
           1024         |       0.06       |              0.03        |            16384.00        |               32255.54   
           1024         |       0.06       |              0.03        |            16896.00        |               36863.47   
           1024         |       0.06       |              0.02        |            17408.00        |               42129.68   
           1024         |       0.06       |              0.02        |            17920.00        |               48148.21   
           1024         |       0.05       |              0.02        |            18432.00        |               55026.53   
           1024         |       0.05       |              0.02        |            18944.00        |               62887.46   
           1024         |       0.05       |              0.01        |            19456.00        |               71871.38   
           1024         |       0.05       |              0.01        |            19968.00        |               82138.72   
           1024         |       0.05       |              0.01        |            20480.00        |               93872.83   
           1024         |       0.05       |              0.01        |            20992.00        |              107283.23   
           1024         |       0.05       |              0.01        |            21504.00        |              122609.41   
           1024         |       0.05       |              0.01        |            22016.00        |              140125.03   
           1024         |       0.04       |              0.01        |            22528.00        |              160142.90   
           1024         |       0.04       |              0.01        |            23040.00        |              183020.45   
           1024         |       0.04       |              0.00        |            23552.00        |              209166.23   
           1024         |       0.04       |              0.00        |            24064.00        |              239047.12   
           1024         |       0.04       |              0.00        |            24576.00        |              273196.71   
