
   Bytes sent (167544)   |   Avg RTT (ms)   |   Estimated RTT (ms)   |   Avg Bandwidth (KB/s)   |   Estimated Bandwidth (KB/s)   

---------------------------------------------------------------------------------------------------------------------------------------

           1024         |       0.00       |              0.00        |            Infinity        |               Infinity   
           1024         |       0.00       |              0.00        |            Infinity        |               Infinity   
           1024         |       0.00       |              0.00        |            Infinity        |               Infinity   
           1024         |       0.00       |              0.00        |            Infinity        |               Infinity   
           1024         |       0.00       |              0.00        |            Infinity        |               Infinity   
           1024         |       0.00       |              0.00        |            Infinity        |               Infinity   
           1024         |       0.00       |              0.00        |            Infinity        |               Infinity   
           1024         |       0.00       |              0.00        |            Infinity        |               Infinity   
           1024         |       0.00       |              0.00        |            Infinity        |               Infinity   
           1024         |       0.00       |              0.00        |            Infinity        |               Infinity   
           1024         |       0.00       |              0.00        |            Infinity        |               Infinity   
           1024         |       0.00       |              0.00        |            Infinity        |               Infinity   
           1024         |       0.00       |              0.00        |            Infinity        |               Infinity   
           1024         |       0.00       |              0.00        |            Infinity        |               Infinity   
           1024         |       0.00       |              0.00        |            Infinity        |               Infinity   
           1024         |       0.00       |              0.00        |            Infinity        |               Infinity   
           1024         |       0.00       |              0.00        |            Infinity        |               Infinity   
           1024         |       0.00       |              0.00        |            Infinity        |               Infinity   
           1024         |       0.00       |              0.00        |            Infinity        |               Infinity   
           1024         |       0.00       |              0.00        |            Infinity        |               Infinity   
           1024         |       0.00       |              0.00        |            Infinity        |               Infinity   
           1024         |       0.04       |              0.13        |            22528.00        |                8192.00   
           1024         |       0.04       |              0.11        |            23552.00        |                9362.29   
           1024         |       0.04       |              0.10        |            24576.00        |               10699.76   
           1024         |       0.04       |              0.08        |            25600.00        |               12228.29   
           1024         |       0.04       |              0.07        |            26624.00        |               13975.19   
           1024         |       0.04       |              0.06        |            27648.00        |               15971.65   
           1024         |       0.03       |              0.06        |            28672.00        |               18253.31   
           1024         |       0.03       |              0.05        |            29696.00        |               20860.93   
           1024         |       0.03       |              0.04        |            30720.00        |               23841.06   
           1024         |       0.03       |              0.04        |            31744.00        |               27246.92   
           1024         |       0.03       |              0.03        |            32768.00        |               31139.34   
           1024         |       0.03       |              0.03        |            33792.00        |               35587.82   
           1024         |       0.03       |              0.03        |            34816.00        |               40671.79   
           1024         |       0.03       |              0.02        |            35840.00        |               46482.05   
           1024         |       0.03       |              0.02        |            36864.00        |               53122.34   
           1024         |       0.03       |              0.02        |            37888.00        |               60711.25   
           1024         |       0.03       |              0.01        |            38912.00        |               69384.28   
           1024         |       0.03       |              0.01        |            39936.00        |               79296.32   
           1024         |       0.02       |              0.01        |            40960.00        |               90624.37   
           1024         |       0.02       |              0.01        |            41984.00        |              103570.71   
           1024         |       0.02       |              0.01        |            43008.00        |              118366.52   
           1024         |       0.02       |              0.01        |            44032.00        |              135276.02   
           1024         |       0.02       |              0.01        |            45056.00        |              154601.17   
           1024         |       0.04       |              0.13        |            23040.00        |                7829.01   
           1024         |       0.04       |              0.11        |            23552.00        |                8947.44   
           1024         |       0.04       |              0.10        |            24064.00        |               10225.65   
           1024         |       0.06       |              0.21        |            16384.00        |                4816.04   
