
SegID   |   Bytes sent (167544)   |   Avg RTT (ms)   |   Estimated RTT (ms)   |   Avg Bandwidth (KB/s)   |   Estimated Bandwidth (KB/s)   

---------------------------------------------------------------------------------------------------------------------------------------

0       |           1024         |      18.50       |              4.63        |               27.68        |                 221.41   
1       |           1024         |      12.33       |              4.05        |               55.35        |                 253.03   
2       |           1024         |       9.50       |              3.67        |               80.84        |                 279.32   
3       |           1024         |       7.60       |              3.21        |              107.79        |                 319.23   
4       |           1024         |       6.50       |              2.93        |              131.28        |                 349.27   
5       |           1024         |       5.71       |              2.69        |              153.60        |                 380.62   
6       |           1024         |       5.13       |              2.48        |              174.83        |                 413.06   
7       |           1024         |       4.67       |              2.29        |              195.05        |                 446.35   
8       |           1024         |       4.30       |              2.13        |              214.33        |                 480.21   
9       |           1024         |       4.00       |              1.99        |              232.73        |                 514.36   
10       |           1024         |       3.67       |              1.74        |              256.00        |                 587.84   
11       |           1024         |       3.38       |              1.52        |              279.27        |                 671.81   
12       |           1024         |       3.14       |              1.33        |              302.55        |                 767.79   
13       |           1024         |       2.93       |              1.17        |              325.82        |                 877.47   
14       |           1024         |       2.81       |              1.15        |              341.33        |                 893.45   
15       |           1024         |       2.65       |              1.00        |              364.09        |                1021.09   
16       |           1024         |       2.50       |              0.88        |              386.84        |                1166.96   
17       |           1024         |       2.42       |              0.89        |              400.70        |                1146.94   
18       |           1024         |       2.35       |              0.91        |              413.96        |                1129.98   
19       |           1024         |       2.29       |              0.92        |              426.67        |                1115.55   
20       |           1024         |       2.23       |              0.93        |              438.86        |                1103.22   
21       |           1024         |       2.17       |              0.94        |              450.56        |                1092.66   
22       |           1024         |       2.13       |              0.95        |              461.80        |                1083.57   
23       |           1024         |       2.08       |              0.95        |              472.62        |                1075.75   
24       |           1024         |       2.04       |              0.96        |              483.02        |                1069.00   
25       |           1024         |       1.96       |              0.84        |              502.34        |                1221.71   
26       |           1024         |       1.93       |              0.86        |              512.00        |                1192.92   
27       |           1024         |       1.90       |              0.88        |              521.31        |                1168.82   
28       |           1024         |       1.83       |              0.77        |              539.93        |                1335.79   
29       |           1024         |       1.77       |              0.67        |              558.55        |                1526.62   
30       |           1024         |       1.75       |              0.71        |              566.86        |                1438.37   
31       |           1024         |       1.73       |              0.75        |              574.88        |                1369.12   
32       |           1024         |       1.71       |              0.78        |              582.62        |                1313.77   
33       |           1024         |       1.69       |              0.81        |              590.10        |                1268.89   
34       |           1024         |       1.67       |              0.83        |              597.33        |                1232.06   
35       |           1024         |       1.65       |              0.85        |              604.33        |                1201.54   
36       |           1024         |       1.63       |              0.87        |              611.10        |                1176.05   
37       |           1024         |       1.62       |              0.89        |              617.65        |                1154.62   
38       |           1024         |       1.58       |              0.78        |              633.90        |                1319.57   
39       |           1024         |       1.54       |              0.68        |              650.16        |                1508.08   
40       |           1024         |       1.52       |              0.72        |              656.00        |                1423.93   
41       |           1024         |       1.51       |              0.75        |              661.66        |                1357.65   
42       |           1024         |       1.50       |              0.78        |              667.15        |                1304.52   
43       |           1024         |       1.49       |              0.81        |              672.48        |                1261.33   
44       |           1024         |       1.48       |              0.84        |              677.65        |                1225.82   
