
SegID   |   Bytes sent (11545769)   |   Avg RTT (ms)   |   Estimated RTT (ms)   |   Avg Bandwidth (KB/s)   |   Estimated Bandwidth (KB/s)   

---------------------------------------------------------------------------------------------------------------------------------------

0       |           1024         |       0.50       |              0.13        |             1024.00        |                8192.00   
1       |           1024         |       0.33       |              0.11        |             2048.00        |                9362.29   
2       |           1024         |       0.25       |              0.10        |             3072.00        |               10699.76   
3       |           1024         |       0.40       |              0.21        |             2048.00        |                4905.62   
4       |           1024         |       0.33       |              0.18        |             2560.00        |                5606.42   
5       |           1024         |       0.43       |              0.28        |             2048.00        |                3595.29   
6       |           1024         |       0.38       |              0.25        |             2389.33        |                4108.91   
7       |           1024         |       0.44       |              0.34        |             2048.00        |                2984.88   
8       |           1024         |       0.40       |              0.30        |             2304.00        |                3411.29   
9       |           1024         |       0.45       |              0.39        |             2048.00        |                2641.51   
10       |           1024         |       0.42       |              0.34        |             2252.80        |                3018.87   
11       |           1024         |       0.46       |              0.42        |             2048.00        |                2427.69   
12       |           1024         |       0.43       |              0.37        |             2218.67        |                2774.50   
13       |           1024         |       0.40       |              0.32        |             2389.33        |                3170.86   
14       |           1024         |       0.44       |              0.41        |             2194.29        |                2512.43   
15       |           1024         |       0.41       |              0.36        |             2340.57        |                2871.35   
16       |           1024         |       0.39       |              0.31        |             2486.86        |                3281.54   
17       |           1024         |       0.42       |              0.40        |             2304.00        |                2572.59   
18       |           1024         |       0.40       |              0.35        |             2432.00        |                2940.10   
19       |           1024         |       0.38       |              0.30        |             2560.00        |                3360.12   
20       |           1024         |       0.36       |              0.27        |             2688.00        |                3840.14   
21       |           1024         |       0.35       |              0.23        |             2816.00        |                4388.73   
22       |           1024         |       0.33       |              0.20        |             2944.00        |                5015.69   
23       |           1024         |       0.36       |              0.30        |             2730.67        |                3372.42   
24       |           1024         |       0.35       |              0.27        |             2844.44        |                3854.19   
25       |           1024         |       0.33       |              0.23        |             2958.22        |                4404.79   
26       |           1024         |       0.32       |              0.20        |             3072.00        |                5034.05   
27       |           1024         |       0.31       |              0.18        |             3185.78        |                5753.20   
28       |           1024         |       0.30       |              0.16        |             3299.56        |                6575.09   
29       |           1024         |       0.29       |              0.14        |             3413.33        |                7514.38   
30       |           1024         |       0.31       |              0.24        |             3174.40        |                4192.63   
31       |           1024         |       0.30       |              0.21        |             3276.80        |                4791.58   
32       |           1024         |       0.29       |              0.19        |             3379.20        |                5476.09   
33       |           1024         |       0.29       |              0.16        |             3481.60        |                6258.39   
34       |           1024         |       0.31       |              0.27        |             3258.18        |                3818.50   
35       |           1024         |       0.30       |              0.23        |             3351.27        |                4364.01   
36       |           1024         |       0.29       |              0.21        |             3444.36        |                4987.43   
37       |           1024         |       0.28       |              0.18        |             3537.45        |                5699.92   
38       |           1024         |       0.28       |              0.16        |             3630.55        |                6514.20   
39       |           1024         |       0.27       |              0.14        |             3723.64        |                7444.80   
40       |           1024         |       0.26       |              0.12        |             3816.73        |                8508.34   
41       |           1024         |       0.26       |              0.11        |             3909.82        |                9723.82   
42       |           1024         |       0.25       |              0.09        |             4002.91        |               11112.94   
43       |           1024         |       0.24       |              0.08        |             4096.00        |               12700.50   
