
SegID   |   Bytes sent (167544)   |   Avg RTT (ms)   |   Estimated RTT (ms)   |   Avg Bandwidth (KB/s)   |   Estimated Bandwidth (KB/s)   

---------------------------------------------------------------------------------------------------------------------------------------

0       |           1024         |      15.50       |              3.88        |               33.03        |                 264.26   
1       |           1024         |      10.67       |              3.52        |               64.00        |                 291.27   
2       |           1024         |       8.25       |              3.20        |               93.09        |                 319.88   
3       |           1024         |       6.60       |              2.80        |              124.12        |                 365.58   
4       |           1024         |       5.50       |              2.45        |              155.15        |                 417.81   
5       |           1024         |       4.71       |              2.14        |              186.18        |                 477.49   
6       |           1024         |       4.25       |              2.00        |              210.82        |                 511.62   
7       |           1024         |       3.89       |              1.88        |              234.06        |                 545.76   
8       |           1024         |       3.50       |              1.64        |              263.31        |                 623.73   
9       |           1024         |       3.27       |              1.56        |              284.44        |                 655.77   
10       |           1024         |       3.08       |              1.49        |              304.43        |                 686.63   
11       |           1024         |       2.85       |              1.30        |              332.11        |                 784.72   
12       |           1024         |       2.71       |              1.27        |              350.32        |                 808.33   
13       |           1024         |       2.60       |              1.23        |              367.59        |                 830.19   
14       |           1024         |       2.50       |              1.20        |              384.00        |                 850.31   
15       |           1024         |       2.35       |              1.05        |              409.60        |                 971.78   
16       |           1024         |       2.22       |              0.92        |              435.20        |                1110.60   
17       |           1024         |       2.16       |              0.93        |              449.56        |                1098.98   
18       |           1024         |       2.10       |              0.94        |              463.24        |                1089.02   
19       |           1024         |       2.05       |              0.95        |              476.28        |                1080.44   
20       |           1024         |       1.95       |              0.83        |              500.09        |                1234.79   
21       |           1024         |       1.91       |              0.85        |              512.00        |                1203.81   
22       |           1024         |       1.88       |              0.87        |              523.38        |                1177.96   
23       |           1024         |       1.80       |              0.76        |              546.13        |                1346.24   
24       |           1024         |       1.77       |              0.79        |              556.52        |                1295.29   
25       |           1024         |       1.74       |              0.82        |              566.47        |                1253.77   
26       |           1024         |       1.71       |              0.84        |              576.00        |                1219.56   
27       |           1024         |       1.66       |              0.73        |              597.33        |                1393.78   
28       |           1024         |       1.63       |              0.77        |              606.04        |                1333.59   
29       |           1024         |       1.61       |              0.80        |              614.40        |                1285.02   
30       |           1024         |       1.56       |              0.70        |              634.88        |                1468.60   
31       |           1024         |       1.52       |              0.61        |              655.36        |                1678.40   
32       |           1024         |       1.50       |              0.66        |              662.59        |                1554.24   
33       |           1024         |       1.49       |              0.70        |              669.54        |                1459.76   
34       |           1024         |       1.47       |              0.74        |              676.23        |                1386.03   
35       |           1024         |       1.43       |              0.65        |              695.55        |                1584.03   
36       |           1024         |       1.42       |              0.69        |              701.63        |                1482.67   
37       |           1024         |       1.41       |              0.73        |              707.49        |                1404.06   
38       |           1024         |       1.38       |              0.64        |              726.11        |                1604.64   
39       |           1024         |       1.34       |              0.56        |              744.73        |                1833.87   
40       |           1024         |       1.31       |              0.49        |              763.35        |                2095.86   
41       |           1024         |       1.30       |              0.55        |              768.00        |                1853.36   
42       |           1024         |       1.30       |              0.61        |              772.49        |                1682.97   
43       |           1024         |       1.27       |              0.53        |              790.46        |                1923.40   
44       |           1024         |       1.24       |              0.47        |              808.42        |                2198.17   
