
SegID   |   Bytes sent (167544)   |   Avg RTT (ms)   |   Estimated RTT (ms)   |   Avg Bandwidth (KB/s)   |   Estimated Bandwidth (KB/s)   

---------------------------------------------------------------------------------------------------------------------------------------

0       |           1024         |      16.00       |              4.00        |               32.00        |                 256.00   
1       |           1024         |      11.00       |              3.63        |               62.06        |                 282.48   
2       |           1024         |       8.50       |              3.30        |               90.35        |                 310.60   
3       |           1024         |       7.00       |              3.01        |              117.03        |                 340.23   
4       |           1024         |       6.00       |              2.76        |              142.22        |                 371.21   
5       |           1024         |       5.29       |              2.54        |              166.05        |                 403.35   
6       |           1024         |       4.63       |              2.22        |              193.73        |                 460.97   
7       |           1024         |       4.11       |              1.94        |              221.41        |                 526.83   
8       |           1024         |       3.80       |              1.83        |              242.53        |                 560.87   
9       |           1024         |       3.55       |              1.72        |              262.56        |                 594.47   
10       |           1024         |       3.33       |              1.63        |              281.60        |                 627.37   
11       |           1024         |       3.08       |              1.43        |              307.20        |                 716.99   
12       |           1024         |       2.93       |              1.37        |              324.68        |                 744.91   
13       |           1024         |       2.80       |              1.33        |              341.33        |                 771.18   
14       |           1024         |       2.69       |              1.29        |              357.21        |                 795.74   
15       |           1024         |       2.53       |              1.13        |              381.02        |                 909.42   
16       |           1024         |       2.44       |              1.11        |              395.64        |                 922.32   
17       |           1024         |       2.37       |              1.10        |              409.60        |                 933.91   
18       |           1024         |       2.25       |              0.96        |              432.36        |                1067.33   
19       |           1024         |       2.19       |              0.96        |              445.22        |                1061.71   
20       |           1024         |       2.09       |              0.84        |              467.48        |                1213.38   
21       |           1024         |       2.04       |              0.86        |              479.32        |                1185.97   
22       |           1024         |       2.00       |              0.88        |              490.67        |                1162.97   
23       |           1024         |       1.96       |              0.90        |              501.55        |                1143.57   
24       |           1024         |       1.88       |              0.78        |              522.45        |                1306.94   
25       |           1024         |       1.81       |              0.69        |              543.35        |                1493.65   
26       |           1024         |       1.79       |              0.72        |              552.96        |                1412.66   
27       |           1024         |       1.76       |              0.76        |              562.20        |                1348.67   
28       |           1024         |       1.70       |              0.66        |              582.27        |                1541.34   
29       |           1024         |       1.68       |              0.71        |              590.77        |                1449.78   
30       |           1024         |       1.66       |              0.74        |              598.94        |                1378.15   
31       |           1024         |       1.61       |              0.65        |              618.26        |                1575.03   
32       |           1024         |       1.56       |              0.57        |              637.58        |                1800.04   
33       |           1024         |       1.51       |              0.50        |              656.91        |                2057.19   
34       |           1024         |       1.47       |              0.44        |              676.23        |                2351.07   
35       |           1024         |       1.46       |              0.51        |              682.67        |                2023.30   
36       |           1024         |       1.45       |              0.57        |              688.87        |                1803.32   
37       |           1024         |       1.44       |              0.62        |              694.86        |                1646.67   
38       |           1024         |       1.43       |              0.67        |              700.63        |                1530.35   
39       |           1024         |       1.41       |              0.71        |              706.21        |                1441.27   
40       |           1024         |       1.40       |              0.75        |              711.59        |                1371.41   
41       |           1024         |       1.40       |              0.78        |              716.80        |                1315.62   
42       |           1024         |       1.39       |              0.81        |              721.84        |                1270.39   
43       |           1024         |       1.38       |              0.83        |              726.71        |                1233.30   
44       |           1024         |       1.35       |              0.73        |              743.23        |                1409.49   
